dataset_name,client_num,n_estimators_client,num_rounds,xgb_max_depth,CNN_lr,best_res,best_res_round_num,num_iterations,method,source_file,subsample,learning_rate,colsample_bylevel,colsample_bynode,colsample_bytree,alpha,gamma,num_parallel_tree,min_child_weight,result_train,result_test,round,test_loss,test_accuracy,dtype,input,output,ulperrortol,seed, 0x0, 0xdeadbeaf
cod-rna,2.0,250.0,30.0,8.0,0.0001,0.964039981365204,30.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cod-rna,5.0,100.0,30.0,8.0,0.001,0.9620075225830078,29.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,30.0,8.0,0.0001,10.37040901184082,29.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,30.0,4.0,0.0001,10.158971786499023,28.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,30.0,4.0,0.001,10.370624542236328,24.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,50.0,30.0,2.0,0.01,10.314363479614258,27.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,500.0,30.0,2.0,0.01,59.639190673828125,30.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,500.0,50.0,8.0,0.0001,10.40651512145996,39.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,50.0,4.0,0.0001,10.35323715209961,49.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,50.0,4.0,0.0001,10.39498233795166,49.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
ijcnn1,2.0,250.0,50.0,8.0,0.0001,0.9802058339118958,45.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,2.0,250.0,30.0,8.0,0.0001,0.8449758291244507,23.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
ijcnn1,5.0,100.0,30.0,8.0,0.0001,0.9731026887893676,16.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
ijcnn1,10.0,100.0,30.0,8.0,0.0005,0.967893660068512,23.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,10.0,100.0,30.0,8.0,0.0005,10.410109519958496,29.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,2.0,250.0,50.0,8.0,0.0001,292.2670288085937,49.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,2.0,250.0,2.0,4.0,0.0001,321.2448425292969,1.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,2.0,100.0,50.0,4.0,0.0001,263.4275207519531,50.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,2.0,100.0,150.0,4.0,0.0001,93.43792724609376,149.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,2.0,100.0,1000.0,4.0,0.0001,14.8245849609375,810.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,100.0,50.0,4.0,1e-05,0.0254145488142967,4.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,5.0,100.0,40.0,4.0,1e-06,0.0600758716464042,40.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,5.0,100.0,100.0,4.0,1e-06,0.0381291396915912,0.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,5.0,100.0,200.0,4.0,1e-06,0.0444038286805152,0.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,10.0,50.0,50.0,4.0,1e-05,0.2331300377845764,0.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,10.0,100.0,50.0,4.0,1e-05,0.0254333689808845,22.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,2.0,250.0,30.0,8.0,0.0001,0.8328556418418884,26.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,10.0,25.0,300.0,4.0,1e-05,289.2887268066406,299.0,50.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,10.0,25.0,300.0,4.0,0.0001,171.87559509277344,300.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,10.0,25.0,1000.0,4.0,0.0001,21.770994186401367,994.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
YearPredictionMSD,2.0,250.0,20.0,8.0,0.0001,119.265510559082,20.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,2.0,100.0,1000.0,4.0,0.0001,15.070291519165,587.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,2.0,100.0,800.0,8.0,0.0001,11.7772,679.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,2.0,250.0,30.0,8.0,0.0001,0.8457129001617432,20.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,2.0,250.0,20.0,8.0,0.0001,0.8449758291244507,15.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,2.0,250.0,15.0,8.0,0.0001,0.8448120355606079,9.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,2.0,250.0,15.0,8.0,0.0001,0.8441569209098816,15.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,2.0,250.0,15.0,8.0,0.0001,0.8456310033798218,14.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,2.0,250.0,15.0,8.0,0.0001,0.8412087559700012,15.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,5.0,100.0,30.0,8.0,0.0005,0.8429285287857056,30.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,10.0,100.0,30.0,8.0,0.001,0.8362951278686523,14.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,10.0,100.0,30.0,8.0,0.001,0.8377692103385925,15.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,10.0,100.0,30.0,8.0,0.001,0.837441623210907,24.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cod-rna,2.0,250.0,30.0,8.0,0.0001,0.965569019317627,27.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cod-rna,5.0,100.0,30.0,8.0,0.001,0.96362042427063,24.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
ijcnn1,2.0,250.0,50.0,8.0,0.0001,0.9803005456924438,45.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,10.0,50.0,30.0,8.0,0.0001,10.225870132446287,11.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,250.0,30.0,8.0,0.0001,10.415020942687988,30.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,2.0,500.0,400.0,8.0,0.0001,99999999999.999,0.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,5.0,100.0,1.0,4.0,5e-05,3044.56689453125,1.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,5.0,100.0,1.0,4.0,5e-05,3168.800537109375,1.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,250.0,30.0,4.0,0.0001,10.305878639221191,27.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,150.0,50.0,8.0,0.0001,10.236144065856934,50.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,150.0,50.0,8.0,0.0001,10.031058311462402,50.0,300.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,2.0,250.0,15.0,8.0,0.0001,0.8440750241279602,13.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,5.0,100.0,30.0,8.0,0.0005,0.8422733545303345,21.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,10.0,100.0,30.0,8.0,0.001,0.8367046117782593,22.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cod-rna,2.0,250.0,30.0,8.0,0.0001,0.9654850959777832,28.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cod-rna,5.0,50.0,1000.0,8.0,0.0001,-1.0,0.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cod-rna,5.0,100.0,30.0,8.0,0.001,0.960590362548828,29.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,50.0,4.0,0.0334691390743958,10.539855003356934,17.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,50.0,4.0,0.0345680594190728,10.53787899017334,17.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,50.0,4.0,0.0463099521146225,10.401963233947754,3.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,50.0,4.0,0.0517336616170603,10.5382719039917,12.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,50.0,4.0,0.086223798135978,10.538084983825684,19.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,50.0,4.0,0.0583991241740845,10.541743278503418,14.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,50.0,4.0,0.0291510797029334,10.53785514831543,20.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,50.0,4.0,0.0006444558899121,10.226868629455566,49.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,50.0,4.0,0.056951124793294,10.537845611572266,11.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,50.0,4.0,0.0501099638514289,10.539204597473145,22.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,50.0,50.0,4.0,0.0198947815082743,10.012669563293455,42.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,500.0,4.0,0.0001,9.894426345825195,120.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,500.0,4.0,0.0001,10.059885025024414,75.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,50.0,4.0,0.0001,9.870953559875488,49.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,300.0,50.0,4.0,0.0001,10.408512115478516,45.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,200.0,50.0,4.0,0.0001,10.455050468444824,47.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,300.0,50.0,4.0,0.0001,10.496016502380373,46.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,300.0,50.0,4.0,0.0001,10.372100830078123,9.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,300.0,50.0,8.0,0.001755493085848,10.486079216003418,19.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,200.0,50.0,8.0,0.0451676410251225,10.540440559387209,13.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
ijcnn1,2.0,250.0,50.0,8.0,0.0001,0.9805530905723572,50.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,650.0,100.0,4.0,0.001217139626212,10.490303993225098,10.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,150.0,100.0,6.0,0.0095031769216784,7.928699016571045,98.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,350.0,100.0,8.0,0.0078394467641537,9.897452354431152,79.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,200.0,100.0,8.0,0.0082070797441798,10.53787612915039,28.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,650.0,100.0,4.0,0.001217139626212,10.463903427124023,23.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,150.0,100.0,6.0,0.0095031769216784,7.670563220977783,100.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,350.0,100.0,8.0,0.0078394467641537,10.538168907165527,29.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,150.0,100.0,5.0,0.0095311300886898,8.326595306396484,97.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,200.0,100.0,6.0,0.0054653156736999,8.855677604675293,98.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,50.0,100.0,5.0,0.0017955547171898,6.178965091705322,96.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,150.0,100.0,5.0,0.0043874149206594,8.143877983093262,100.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,25.0,100.0,5.0,0.0095001700984837,9.77553939819336,27.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,50.0,100.0,5.0,0.0048826754319646,5.8692779541015625,96.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,25.0,100.0,5.0,0.007557058187901,6.141476154327393,100.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,10.0,100.0,7.0,0.0051301762320784,7.082235813140869,92.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,50.0,100.0,6.0,0.0028231080803766,5.545757293701172,95.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,2.0,10.0,100.0,6.0,0.0028521611812793,7.876493453979492,98.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,25.0,100.0,5.0,0.009785294236382,9.208296775817873,99.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,100.0,6.0,0.0070790318276614,10.32761001586914,1.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,10.0,100.0,7.0,0.0013448043173179,8.094303131103516,100.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,25.0,100.0,5.0,0.0047149810584732,9.58347511291504,96.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,100.0,7.0,0.006981291837612,9.868386268615724,100.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,10.0,100.0,7.0,0.0041353570425967,9.329564094543455,98.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,100.0,100.0,7.0,0.003629851328375,10.195948600769045,45.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,50.0,100.0,6.0,0.0090596696503676,10.281177520751951,7.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,25.0,100.0,7.0,0.0055731205959473,10.041385650634766,2.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,25.0,100.0,7.0,0.000286215870283,9.260563850402832,100.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,25.0,100.0,8.0,1.5711330591445135e-05,10.278858184814451,34.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,5.0,100.0,8.0,0.0001233278517411,9.62313175201416,10.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,25.0,100.0,4.0,0.0006278898956762,8.320752143859863,97.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,25.0,100.0,6.0,0.0003372569452123,8.360357284545898,99.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,5.0,100.0,4.0,0.0002038313592678,9.912229537963867,10.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,5.0,100.0,7.0,0.0004198594528837,9.698519706726074,19.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,25.0,100.0,6.0,0.0007804153506712,7.467720508575439,100.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,5.0,100.0,4.0,0.0005335030582873,9.64600944519043,5.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,25.0,100.0,6.0,0.0009397031028496,7.298470020294189,100.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,25.0,100.0,8.0,0.0002193902512638,9.670918464660645,99.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,5.0,100.0,6.0,0.0005419520842675,9.692630767822266,3.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,25.0,100.0,4.0,0.0007623175785101,8.790078163146973,99.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,10.0,10.0,100.0,6.0,0.0028231080803766,9.8931884765625,10.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,10.0,10.0,100.0,6.0,0.0028231080803766,9.223672866821287,100.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,10.0,10.0,200.0,6.0,0.0028231080803766,9.795281410217283,64.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,5.0,50.0,200.0,6.0,0.0004549072000953,6.875454425811768,200.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,5.0,25.0,500.0,6.0,0.0004574145127645,14.813268661499023,407.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,5.0,25.0,500.0,6.0,0.000390969335744,15.414558410644531,292.0,500.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,5.0,25.0,400.0,6.0,0.0004574145127645,15.85751247406006,366.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,5.0,25.0,450.0,6.0,0.0004574145127645,15.76364803314209,208.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cpusmall,5.0,25.0,500.0,6.0,0.0004574145127645,15.13617706298828,234.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.0255174748599529,9.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.025405928492546,10.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.0682720988988876,20.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.0255530662834644,1.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.0254135653376579,5.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.2901467978954315,20.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.0454619191586971,20.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.2315081804990768,0.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.0254175998270511,9.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.3342278897762298,16.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.0537689477205276,0.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.0265067890286445,0.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.0448509193956851,0.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.0255325622856616,0.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
space_ga,2.0,10.0,20.0,8.0,1e-05,0.041962519288063,20.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
abalone,,200.0,,3.0,,,,,unknown,baselines/hfedxgboost/results_centralized.csv,0.4,0.05,1.0,1.0,1.0,5.0,10.0,1.0,5.0,3.9291864339707256,4.404329529975106,,,,,,,,,,
,,,,,,,,,fedavg,baselines/fednova/fednova/results/proximal_fedavg_varEpoch_False_seed_3_Dec3.csv,,,,,,,,,,,,1.0,2.3302922658859546,9.952229299363058,,,,,,,
,,,,,,,,,fedavg,baselines/fednova/fednova/results/proximal_fedavg_varEpoch_False_seed_3_Dec3.csv,,,,,,,,,,,,2.0,2.357336262988437,10.111464968152866,,,,,,,
,,,,,,,,,fedavg,baselines/fednova/fednova/results/proximal_fedavg_varEpoch_False_seed_3_Dec3.csv,,,,,,,,,,,,3.0,2.3250329190758383,16.98845541401274,,,,,,,
