method,dataset,model,round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,fit_failures,model_mode,avg_model_rate,round_wall_time_sec,cumulative_round_wall_time_sec
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,24,0.240171698330529,0.9284800000000001,1.9298092472076416,0.5157,10,0,a1-b1-c1-d1-e1,0.3875,8.37183666229248,207.40668535232544
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,25,0.26190532292549495,0.9214800000000001,1.981681709098816,0.5179,10,0,a1-b1-c1-d1-e1,0.3875,8.40608024597168,215.81276559829712
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,26,0.26384269501659086,0.9154,2.0274217372894285,0.522,10,0,a1-b1-c1-d1-e1,0.3875,8.419382333755493,224.2321479320526
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,27,0.24506593714362007,0.92736,1.8547289735794068,0.5185,10,0,a1-b1-c1-d1-e1,0.3875,8.432618618011475,232.6647665500641
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,28,0.2476888760840148,0.9252799999999999,1.810586233139038,0.5302,10,0,a1-b1-c1-d1-e1,0.3875,8.597574472427368,241.26234102249146
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,29,0.20922900445982812,0.9416800000000001,1.8532433841705322,0.5344,10,0,a1-b1-c1-d1-e1,0.3875,8.693105220794678,249.95544624328613
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,30,0.23462309896026734,0.9318399999999999,1.8906841262817382,0.5396,10,0,a1-b1-c1-d1-e1,0.3875,8.517946243286133,258.47339248657227
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,31,0.22735181570904328,0.9293600000000002,1.9357889408111573,0.5368,10,0,a1-b1-c1-d1-e1,0.3875,8.735916137695312,267.2093086242676
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,32,0.25476900098293087,0.92416,1.8166023365020751,0.5149,10,0,a1-b1-c1-d1-e1,0.3875,8.653226852416992,275.86253547668457
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,33,0.19332451345651408,0.9429199999999998,1.7449523410797119,0.5407,10,0,a1-b1-c1-d1-e1,0.3875,8.547742366790771,284.41027784347534
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,34,0.18610527088668197,0.9482000000000002,1.7912743133544922,0.539,10,0,a1-b1-c1-d1-e1,0.3875,8.741040706634521,293.15131855010986
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,35,0.2221275367260352,0.9318799999999999,1.8114048994064331,0.5396,10,0,a1-b1-c1-d1-e1,0.3875,8.690550804138184,301.84186935424805
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,36,0.25721080763059667,0.91744,1.8428839687347411,0.5411,10,0,a1-b1-c1-d1-e1,0.3875,8.586127996444702,310.42799735069275
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,37,0.20944075127365064,0.93872,1.6479373802185058,0.5449,10,0,a1-b1-c1-d1-e1,0.3875,8.745439052581787,319.17343640327454
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,38,0.198299263030272,0.94092,1.6737219772338867,0.5477,10,0,a1-b1-c1-d1-e1,0.3875,8.662652730941772,327.8360891342163
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,39,0.16072162350745872,0.9542000000000002,1.7130679370880126,0.5521,10,0,a1-b1-c1-d1-e1,0.3875,8.593224048614502,336.4293131828308
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,40,0.21416709715319798,0.9376800000000001,1.7556585151672364,0.5493,10,0,a1-b1-c1-d1-e1,0.3875,8.735840082168579,345.1651532649994
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,41,0.21201024476387537,0.9350799999999999,1.7927679971694945,0.5464,10,0,a1-b1-c1-d1-e1,0.3875,8.518192768096924,353.6833460330963
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,42,0.20626387741844168,0.9402000000000001,1.6067929847717286,0.5527,10,0,a1-b1-c1-d1-e1,0.3875,8.740241289138794,362.4235873222351
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,43,0.1937642426100932,0.94356,1.6156166896820068,0.5503,10,0,a1-b1-c1-d1-e1,0.3875,8.684593439102173,371.1081807613373
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,44,0.16257947764268144,0.9551200000000002,1.6684045791625977,0.5546,10,0,a1-b1-c1-d1-e1,0.3875,8.547547578811646,379.6557283401489
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,45,0.2121573726637848,0.9368400000000001,1.6915602333068849,0.5559,10,0,a1-b1-c1-d1-e1,0.3875,8.706457376480103,388.362185716629
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,46,0.21193426228776574,0.9343599999999999,1.7118836612701416,0.5556,10,0,a1-b1-c1-d1-e1,0.3875,8.669532775878906,397.03171849250793
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,47,0.20791410878086464,0.9387599999999999,1.6046981704711913,0.5656,10,0,a1-b1-c1-d1-e1,0.3875,8.614755153656006,405.64647364616394
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,48,0.1731206708277576,0.9513999999999999,1.5253237941741944,0.5747,10,0,a1-b1-c1-d1-e1,0.3875,8.657348871231079,414.303822517395
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,49,0.17707355416679754,0.9488000000000001,1.5829461334228516,0.5723,10,0,a1-b1-c1-d1-e1,0.3875,8.537824630737305,422.8416471481323
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,50,0.1972758585059084,0.94276,1.6099446182250976,0.5726,10,0,a1-b1-c1-d1-e1,0.3875,8.644203901290894,431.4858510494232
