method,dataset,model,round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,fit_failures,model_mode,avg_model_rate,round_wall_time_sec,cumulative_round_wall_time_sec
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,29,1.0526404338216782,0.62908,5.097549610900879,0.3116,10,0,a1-b1-c1-d1-e1,0.3875,41.97499632835388,1220.9939424991608
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,30,1.0068401521468162,0.64536,5.87901455154419,0.324,10,0,a1-b1-c1-d1-e1,0.3875,42.14353346824646,1263.1374759674072
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,31,0.9749550864434241,0.65816,4.3670568313598634,0.3479,10,0,a1-b1-c1-d1-e1,0.3875,41.96005153656006,1305.0975275039673
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,32,1.0233779153633118,0.64072,3.5300595882415773,0.415,10,0,a1-b1-c1-d1-e1,0.3875,42.220179080963135,1347.3177065849304
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,33,1.008341007603407,0.64596,3.8350626037597655,0.3957,10,0,a1-b1-c1-d1-e1,0.3875,42.16493320465088,1389.4826397895813
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,34,0.9790569166898726,0.65552,2.435808929824829,0.4863,10,0,a1-b1-c1-d1-e1,0.3875,42.018012046813965,1431.5006518363953
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,35,0.9490109728169441,0.66492,4.449095088195801,0.3577,10,0,a1-b1-c1-d1-e1,0.3875,42.52414345741272,1474.024795293808
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,36,0.9214229244053364,0.6801999999999999,5.464159837341309,0.3022,10,0,a1-b1-c1-d1-e1,0.3875,42.0936336517334,1516.1184289455414
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,37,0.9698523280596734,0.6650800000000001,5.380279447937012,0.3,10,0,a1-b1-c1-d1-e1,0.3875,42.10671806335449,1558.2251470088959
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,38,0.9510015921783449,0.67144,4.191175092315674,0.3596,10,0,a1-b1-c1-d1-e1,0.3875,42.1059455871582,1600.331092596054
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,39,0.9338503328394889,0.6742000000000001,3.2881415557861327,0.4281,10,0,a1-b1-c1-d1-e1,0.3875,42.02716588973999,1642.358258485794
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,40,0.9149739260601997,0.6854799999999999,4.612270072937012,0.3906,10,0,a1-b1-c1-d1-e1,0.3875,41.98862266540527,1684.3468811511993
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,41,0.8675399210596085,0.70024,3.7163924938201904,0.422,10,0,a1-b1-c1-d1-e1,0.3875,42.2193021774292,1726.5661833286285
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,42,0.9175472293400764,0.688,3.435626490020752,0.4159,10,0,a1-b1-c1-d1-e1,0.3875,42.04372763633728,1768.6099109649658
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,43,0.9113143511486055,0.6875600000000001,4.74926960067749,0.3659,10,0,a1-b1-c1-d1-e1,0.3875,42.0002019405365,1810.6101129055023
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,44,0.8983734337091447,0.6893199999999999,4.771327596282959,0.3919,10,0,a1-b1-c1-d1-e1,0.3875,41.93668246269226,1852.5467953681946
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,45,0.8603907211351395,0.70496,4.744926150512695,0.3374,10,0,a1-b1-c1-d1-e1,0.3875,42.166144371032715,1894.7129397392273
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,46,0.8357357420158384,0.7115199999999999,4.5008614624023435,0.405,10,0,a1-b1-c1-d1-e1,0.3875,42.050621032714844,1936.7635607719421
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,47,0.8785762929630279,0.70036,5.7084905136108395,0.301,10,0,a1-b1-c1-d1-e1,0.3875,41.88912916183472,1978.6526899337769
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,48,0.8854841109848023,0.69084,4.20163052444458,0.3591,10,0,a1-b1-c1-d1-e1,0.3875,42.14162540435791,2020.7943153381348
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,49,0.8685330966949463,0.699,4.083487491607666,0.4002,10,0,a1-b1-c1-d1-e1,0.3875,42.23220348358154,2063.0265188217163
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,50,0.8330395945990086,0.7112,4.653568706512451,0.3442,10,0,a1-b1-c1-d1-e1,0.3875,42.237823486328125,2105.2643423080444
